arid_wp1,arid_wp2,arid_wp3
a.gal10.n,,0.4846084974
a.gal1.s,,0.3636118166
a.gal2.s,,0.3460501452
a.gal3.s,,0.2827025681
a.gal4.s,,0.2184356112
a.gal5.s,,0.5089555866
a.gal6.n,,0.3322789115
a.gal8.n,,0.410041597
a.gal9.n,,0.5130453194
a.musc.s,,0.3452171038
a.sin.n,,0.4853866749
a.tab.n,,0.4077879605
a.tab.s,,0.4666891146
e.scab.s,,3.6368769798
f.fom.n,,1.787957667
h.crust.n,,0.6994924438
h.seti.n,,1.8074559652
h.seti.s,,2.9774307911
l.carib.s,,3.5498039526
l.conif.n,,2.6343104205
l.crin.s,,3.4294218892
l.gilb.s,,2.3039602715
l.huron.n,,1.8237646424
m.meri.s,,0.4820671092
m.trem.n,,4.3609711341
m.trem.s,,4.2930718074
p.albo.s,,5.8228981
p.flav.n,,4.6732963059
p.flav.s,,9.3832060687
p.gilv.n,,2.5550345874
p.har.n,,1.3151664928
p.pend.n,,2.3966669554
p.robin.n,,1.6074535588
p.robin.s,,1.4469494297
p.rufa.acer.n,,3.8432070257
p.rufa.acer.s,,5.7949687405
p.sang.s,,3.7429446578
r.sacc.s,,4.4206072105
s.comm.n,,5.9546970511
s.comm.s,,3.1960322874
t.chion.n,,1.2924316304
x.sub.s,,0.824562875
